OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,SiteEnergyUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,TotalUseTypeNumber,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
179,2015,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.53830025,-122.2840532,1.0,1.0,54765,Office,4316654.0,59.61,0.8,57,2,1.0,0.0,54765.0,54765.0
180,2015,NonResidential,Other,2,GREATER DUWAMISH,47.53830025,-122.2840532,1.0,5.0,89821,Other - Lodging/Residential,2017694.0,104.17,1.16,6,3,1.0,0.0,89821.0,17964.2
182,2015,NonResidential,College/University,7,MAGNOLIA / QUEEN ANNE,47.65153666,-122.3615464,1.0,2.0,52611,College/University,4399828.0,105.32,1.77,35,1,1.0,0.0,52611.0,26305.5
183,2015,NonResidential,Residence Hall/Dormitory,7,MAGNOLIA / QUEEN ANNE,47.65076266,-122.3638034,1.0,4.0,139600,Residence Hall/Dormitory,4418055.0,123.02,0.81,14,1,0.73138,0.26862,139600.0,34900.0
185,2015,SPS-District K-12,K-12 School,5,NORTH,47.70783561,-122.294626,1.0,2.0,236758,K-12 School,8050977.0,202.97,0.77,4,2,1.0,0.0,236758.0,118379.0
187,2015,NonResidential,Other,3,CENTRAL,47.60411727,-122.3153334,1.0,6.0,250981,Other,13901935.0,398.56,1.43,44,2,1.0,0.0,250981.0,41830.167
189,2015,SPS-District K-12,K-12 School,6,NORTHWEST,47.68734351,-122.3598407,1.0,3.0,62526,K-12 School,1841968.0,49.08,0.71,13,1,1.0,0.0,62526.0,20842.0
190,2015,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.5353246,-122.3186034,1.0,3.0,64015,Office,3349666.0,53.27,0.65,8,3,1.0,0.0,64015.0,21338.333
194,2015,NonResidential,Retail Store,5,NORTH,47.70752593,-122.3267018,1.0,1.0,530039,Retail Store,29067292.0,765.56,1.31,64,2,1.0,0.0,530039.0,530039.0
195,2015,NonResidential,Other,5,NORTH,47.70624752,-122.3217548,1.0,3.0,54224,Other/Specialty Hospital,7613116.0,249.01,4.33,51,1,1.0,0.0,54224.0,18074.667
